61983CJ0036,Judgment of the Court of 28 June 1984,,  Mabanaft GmbH v Hauptzollamt Emmerich,  Reference for a preliminary ruling: Finanzgericht Düsseldorf - Germany,  Coal - Differential customs duties,  Case 36/83,ECLI identifier: ECLI:EU:C:1984:232,08/03/1983,28/06/1984,Germany,Bosco,Sir Gordon Slynn,CECA
61983CJ0224,Judgment of the Court (Third Chamber) of 30 May 1984,Third Chamber,  Ferriera Vittoria Srl v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 224/83,ECLI identifier: ECLI:EU:C:1984:208,06/10/1983,30/05/1984,Italy,Kakouris,Darmon,CECA
61983CJ0083,Judgment of the Court (Second Chamber) of 17 May 1984,Second Chamber,  Estel NV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 83/83,ECLI identifier: ECLI:EU:C:1984:185,10/05/1983,17/05/1984,Netherlands,Bahlmann,Sir Gordon Slynn,CECA
61983CJ0009,Judgment of the Court (Fourth Chamber) of 16 May 1984,Fourth Chamber,  Eisen und Metall Aktiengesellschaft v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 9/83,ECLI identifier: ECLI:EU:C:1984:177,14/01/1983,16/05/1984,Germany,Bosco,VerLoren van Themaat,CECA
61983CJ0008,Judgment of the Court (Fourth Chamber) of 28 March 1984,Fourth Chamber,  Officine fratelli Bertoli SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 8/83,ECLI identifier: ECLI:EU:C:1984:129,14/01/1983,28/03/1984,Italy,O'Keeffe,VerLoren van Themaat,CECA
61982CJ0348,Judgment of the Court (First Chamber) of 15 March 1984,First Chamber,  Industrie Riunite Odolesi SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 348/82,ECLI identifier: ECLI:EU:C:1984:109,31/12/1982,15/03/1984,Italy,Koopmans,Reischl,CECA
61983CJ0010,Judgment of the Court (Second Chamber) of 1 March 1984,Second Chamber,  Metalgoi SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 10/83,ECLI identifier: ECLI:EU:C:1984:99,18/01/1983,01/03/1984,Italy,Pescatore,VerLoren van Themaat,CECA
61982CJ0270,Judgment of the Court (Fourth Chamber) of 29 February 1984,Fourth Chamber,  Estel NV v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 270/82,ECLI identifier: ECLI:EU:C:1984:84,30/09/1982,29/02/1984,Netherlands,Bahlmann,Sir Gordon Slynn,CECA
61982CJ0140,Judgment of the Court of 21 February 1984,,  Walzstahl-Vereinigung and Thyssen Aktiengesellschaft v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Joined cases 140; 146; 221 and 226/82,ECLI identifier: ECLI:EU:C:1984:66,30/04/1982,21/02/1984,Germany,Due,VerLoren van Themaat,CECA
61983CJ0076,Judgment of the Court (First Chamber) of 16 February 1984,First Chamber,  Usines Gustave Boël and Fabrique de fer de Maubeuge v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 76/83,ECLI identifier: ECLI:EU:C:1984:64,29/04/1983,16/02/1984,France; Belgium,Mackenzie Stuart,Rozès,CECA
61983CJ0002,Judgment of the Court (Fifth Chamber) of 14 February 1984,Fifth Chamber,  SpA Alfer v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 2/83,ECLI identifier: ECLI:EU:C:1984:61,06/01/1983,14/02/1984,Italy,Due,Reischl,CECA
61982CJ0284,Judgment of the Court (Second Chamber) of 9 February 1984,Second Chamber,  Acciaierie e Ferriere Busseni SpA v Commission of the European Communities,Check EUR-LEX webpage,Check EUR-LEX webpage,  Case 284/82,ECLI identifier: ECLI:EU:C:1984:47,25/10/1982,09/02/1984,Italy,Bahlmann,Reischl,CECA
